start_date,end_date,country_name,region_name,clicks,ctc,ctr,impressions,rr_per_1k_imps,total_conversions,total_spend,total_spend_cpa,total_spend_cpc,total_spend_cpm
"2017-01-26","2017-02-24","united states","maine",9,0.00,0.20,4483,0.00,0.00,16.80,0.00,1.87,3.75
"2017-01-26","2017-02-24","united states","montana",10,0.00,0.24,4228,0.00,0.00,15.29,0.00,1.53,3.62
"2017-01-26","2017-02-24","unknown","unknown",0,0.00,0.00,1,0.00,0.00,0.01,0.00,0.00,5.60
"2017-01-26","2017-02-24","united states","new hampshire",9,0.00,0.20,4563,0.00,0.00,16.72,0.00,1.86,3.66
"2017-01-26","2017-02-24","united states","district of columbia",10,0.00,0.20,5098,0.00,0.00,17.76,0.00,1.78,3.48
"2017-01-26","2017-02-24","united states","delaware",2,0.00,0.07,2697,0.00,0.00,9.74,0.00,4.87,3.61
"2017-01-26","2017-02-24","united states","new mexico",64,0.00,0.90,7134,0.00,0.00,25.54,0.00,0.40,3.58
"2017-01-26","2017-02-24","united states","louisiana",46,0.00,0.41,11213,0.00,0.00,41.29,0.00,0.90,3.68
"2017-01-26","2017-02-24","united states","oregon",50,0.00,0.17,28784,0.00,0.00,82.59,0.00,1.65,2.87
"2017-01-26","2017-02-24","united states","west virginia",9,0.00,0.17,5155,0.00,0.00,18.92,0.00,2.10,3.67
"2017-01-26","2017-02-24","united states","south dakota",2,0.00,0.06,3345,0.00,0.00,12.82,0.00,6.41,3.83
"2017-01-26","2017-02-24","united states","connecticut",19,0.00,0.14,13396,0.00,0.00,47.85,0.00,2.52,3.57
"2017-01-26","2017-02-24","united states","oklahoma",40,0.00,0.40,9913,0.00,0.00,36.18,0.00,0.90,3.65
"2017-01-26","2017-02-24","united states","missouri",3664,0.00,11.17,32812,0.00,0.00,111.73,0.00,0.03,3.41
"2017-01-26","2017-02-24","united states","pennsylvania",180,0.00,0.47,38607,0.00,0.00,142.66,0.00,0.79,3.70
"2017-01-26","2017-02-24","united states","north dakota",2,0.00,0.07,2892,0.00,0.00,11.34,0.00,5.67,3.92
"2017-01-26","2017-02-24","united states","aol",0,0.00,0.00,241,0.00,0.00,0.68,0.00,0.00,2.81
"2017-01-26","2017-02-24","united states","washington",56,0.00,0.15,38164,0.00,0.00,124.85,0.00,2.23,3.27
"2017-01-26","2017-02-24","united states","florida",311,0.00,0.56,55966,0.00,0.00,201.59,0.00,0.65,3.60
"2017-01-26","2017-02-24","united states","vermont",4,0.00,0.19,2132,0.00,0.00,7.82,0.00,1.95,3.67
"2017-01-26","2017-02-24","united states","wyoming",4,0.00,0.18,2184,0.00,0.00,7.99,0.00,2.00,3.66
"2017-01-26","2017-02-24","united states","california",569,0.00,0.28,205427,0.00,0.00,682.91,0.00,1.20,3.32
"2017-01-26","2017-02-24","united states","iowa",21,0.00,0.16,13252,0.00,0.00,50.44,0.00,2.40,3.81
"2017-01-26","2017-02-24","united states","arkansas",19,0.00,0.25,7680,0.00,0.00,27.93,0.00,1.47,3.64
"2017-01-26","2017-02-24","united states","kentucky",45,0.00,0.36,12362,0.00,0.00,45.45,0.00,1.01,3.68
"2017-01-26","2017-02-24","united states","wisconsin",32,0.00,0.16,19513,0.00,0.00,72.17,0.00,2.26,3.70
"2017-01-26","2017-02-24","united states","north carolina",140,0.00,0.45,30951,0.00,0.00,116.25,0.00,0.83,3.76
"2017-01-26","2017-02-24","united states","ohio",111,0.00,0.30,37205,0.00,0.00,140.87,0.00,1.27,3.79
"2017-01-26","2017-02-24","united states","tennessee",91,0.00,0.51,17815,0.00,0.00,66.89,0.00,0.74,3.75
"2017-01-26","2017-02-24","united states","georgia",78,0.00,0.26,30133,0.00,0.00,112.42,0.00,1.44,3.73
"2017-01-26","2017-02-24","united states","hawaii",19,0.00,0.26,7353,0.00,0.00,26.19,0.00,1.38,3.56
"2017-01-26","2017-02-24","united states","new jersey",46,0.00,0.16,28690,0.00,0.00,100.53,0.00,2.19,3.50
"2017-01-26","2017-02-24","united states","alaska",1,0.00,0.03,3990,0.00,0.00,15.01,0.00,15.01,3.76
"2017-01-26","2017-02-24","united states","new york",181,0.00,0.29,61700,0.00,0.00,216.19,0.00,1.19,3.50
"2017-01-26","2017-02-24","united states","kansas",12,0.00,0.11,10488,0.00,0.00,40.05,0.00,3.34,3.82
"2017-01-26","2017-02-24","united states","nevada",83,0.00,0.72,11577,0.00,0.00,41.26,0.00,0.50,3.56
"2017-01-26","2017-02-24","united states","rhode island",1,0.00,0.04,2720,0.00,0.00,10.23,0.00,10.23,3.76
"2017-01-26","2017-02-24","united states","michigan",127,0.00,0.41,30898,0.00,0.00,115.55,0.00,0.91,3.74
"2017-01-26","2017-02-24","united states","maryland",68,0.00,0.42,16319,0.00,0.00,59.96,0.00,0.88,3.67
"2017-01-26","2017-02-24","united states","colorado",90,0.00,0.38,23508,0.00,0.00,83.96,0.00,0.93,3.57
"2017-01-26","2017-02-24","united states","south carolina",68,0.00,0.57,12002,0.00,0.00,45.28,0.00,0.67,3.77
"2017-01-26","2017-02-24","united states","nebraska",9,0.00,0.13,7112,0.00,0.00,26.83,0.00,2.98,3.77
"2017-01-26","2017-02-24","united states","arizona",359,0.00,1.19,30116,0.00,0.00,101.40,0.00,0.28,3.37
"2017-01-26","2017-02-24","united states","massachusetts",66,0.00,0.27,24619,0.00,0.00,85.52,0.00,1.30,3.47
"2017-01-26","2017-02-24","united states","virginia",129,0.00,0.42,30965,0.00,0.00,102.08,0.00,0.79,3.30
"2017-01-26","2017-02-24","united states","mississippi",16,0.00,0.25,6348,0.00,0.00,23.90,0.00,1.49,3.76
"2017-01-26","2017-02-24","united states","texas",292,0.00,0.34,85938,0.00,0.00,309.37,0.00,1.06,3.60
"2017-01-26","2017-02-24","united states","illinois",132,0.00,0.29,45975,0.00,0.00,157.16,0.00,1.19,3.42
"2017-01-26","2017-02-24","united states","united states",1,0.00,0.55,181,0.00,0.00,0.45,0.00,0.45,2.46
"2017-01-26","2017-02-24","united states","minnesota",68,0.00,0.35,19472,0.00,0.00,71.98,0.00,1.06,3.70
"2017-01-26","2017-02-24","united states","alabama",127,0.00,1.08,11778,0.00,0.00,43.67,0.00,0.34,3.71
"2017-01-26","2017-02-24","united states","idaho",13,0.00,0.18,7139,0.00,0.00,26.78,0.00,2.06,3.75
"2017-01-26","2017-02-24","united states","utah",100,0.00,0.72,13896,0.00,0.00,49.53,0.00,0.50,3.56
"2017-01-26","2017-02-24","united states","indiana",52,0.00,0.25,20808,0.00,0.00,78.46,0.00,1.51,3.77
